Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
Den,Left,0.6456,3.3054,0.1474,0.567,0.3388,0.1985,1.3049,0.58665,0.07064,0.70147,0.63742,0.79728,0.65641,0.27417
Int,Left,0.6964,0.0185,1.6959,1.0472,1.2128,0.2911,0.6023,0.5553,0.8919,0.1944,0.3729,0.3064,0.5902,0.6143
FasDL,Left,0.9403,1.1324,2.3325,0.636,0.6267,3.1157,1.0948,0.42227,0.28863,0.12838,0.59267,0.59859,0.07916,0.35259
FasMed,Left,0.6521,0.0004,7.8059,1.417,1.2124,0.1852,0.038,0.582577,0.984514,0.005747,0.239188,0.306524,0.667399,0.990084
VII,Left,1.009,1.5318,0.074,0.4181,0.6009,4.6106,0.0921,0.38994,0.21738,0.78589,0.74024,0.61519,0.03306,0.96432
ParB,Left,0.8753,4.1495,0.0054,1.687,0.9626,2.724,0.6596,0.45494,0.04305,0.94148,0.17126,0.41157,0.10052,0.57786
KF,Left,0.4419,0.7915,0.3988,2.5088,0.139,0.1982,0.8056,0.72334,0.37477,0.52847,0.06021,0.93656,0.65669,0.49221
PCRt,Left,1.4526,2.494,6.4977,0.949,1.0067,0.7604,0.5946,0.229,0.116,0.0116,0.4181,0.391,0.3843,0.6193
CG,Left,0.9938,1.2339,2.7477,0.1698,2.3701,2.404,0.4576,0.39692,0.26807,0.09906,0.9167,0.07197,0.12271,0.71223
Su5,Left,0.3377,2.1658,0.1924,0.8199,1.0574,2.9488,0.3962,0.79812,0.14279,0.66143,0.48437,0.36846,0.08759,0.75591
m5,Left,0.1874,0.074,10.9042,0.4921,0.5003,0.107,0.3244,0.904885,0.785857,0.001148,0.688164,0.682543,0.743925,0.807702
5N,Left,2.0545,2.5097,5.686,2.389,1.879,0.718,0.6833,0.10775,0.11483,0.0181,0.07024,0.13458,0.39788,0.56329
PnO,Left,1.5841,0.8593,25.6164,0.8154,0.5965,0.5871,0.497,0.1947,0.3551,9.88E-07,0.4868,0.618,0.4445,0.6848
Raph,Left,1.3972,3.2699,0.0123,0.1592,1.2623,0.5978,0.4388,0.24505,0.07216,0.91185,0.92366,0.28865,0.44037,0.72552
Pr5,Left,1.9464,2.1632,13.3536,0.3626,0.861,1.1526,2.9542,0.1235868,0.1430261,0.0003345,0.7800889,0.4623987,0.2843864,0.0338179
DTg,Left,0.7597,3.8916,1.1289,2.7699,0.5497,0.044,0.1401,0.51805,0.04999,0.28938,0.04296,0.64895,0.83407,0.93591
Tg,Left,0.4242,0.5417,0.0015,0.0513,1.2935,1.3358,0.1196,0.7359,0.46226,0.969,0.9846,0.278,0.2492,0.9485
